experiment,update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,model,lr,val_loss,discount
8.MiniGrid-RedBlueDoors-6x6-v0_mamba_lr0.0001_ent0.01_vl0.5_disc0.95,93.5,191488.0,960.070246036816,287.4,0.11807031333446498,0.2565611110426186,0.0,0.8448750078678131,368.01875,265.751661043735,25.1,720.0,0.01,0.00352480040851329,-0.00257397855543784,0.0010200043707072506,0.013954322775901359,0.11807031333446498,0.2565611110426186,0.0,0.8448750078678131,mamba,0.0001,0.5,0.95
80.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.01_vl0.5_disc0.95,93.5,191488.0,897.8600156323215,291.2,0.08304687496274706,0.1930595526562206,0.0,0.6375000029802322,387.0125,255.31786702248013,14.6,720.0,0.01,0.008418757771141778,0.00301151959411069,0.0008604511051401879,0.03917845283951701,0.08304687496274706,0.1930595526562206,0.0,0.6375000029802322,transformer,0.0001,0.5,0.95
81.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.01_vl0.5_disc0.9,93.5,191488.0,785.599445691378,362.4,0.08447656314820046,0.19817059565839035,0.0,0.6737500011920929,397.85625,268.25832456875077,23.3,720.0,0.01,0.0010725102891114848,-0.0011842911017708867,0.0005595833411760322,0.04619433881942637,0.08447656314820046,0.19817059565839035,0.0,0.6737500011920929,transformer,0.0001,0.5,0.9
82.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.01_vl1.0_disc0.99,93.5,191488.0,828.8270397004599,315.1,0.05228124931454654,0.14515203702623428,0.0,0.5559999942779541,426.975,256.17588385824604,37.4,720.0,0.01,0.01628624165423385,0.0004174974485067702,0.000870380815634035,0.07968822927002607,0.05228124931454654,0.14515203702623428,0.0,0.5559999942779541,transformer,0.0001,1.0,0.99
83.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.01_vl1.0_disc0.95,93.5,191488.0,677.109894991602,343.1,0.10607812535017724,0.19887035699689287,0.0,0.6150000065565109,400.8,259.3003084309757,33.7,720.0,0.01,0.00859270649793867,0.00386506101008306,0.0007866624428771514,0.06430142959369844,0.10607812535017724,0.19887035699689287,0.0,0.6150000065565109,transformer,0.0001,1.0,0.95
84.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.0001_ent0.01_vl1.0_disc0.9,93.5,191488.0,730.3734405565508,326.3,0.03841406181454653,0.13803874154329326,0.0,0.5446249902248382,415.41875,285.0119316453946,15.0,720.0,0.01,0.00065127121395108,-0.00024643359064386,0.00021062312412850208,0.032544724437625606,0.03841406181454653,0.13803874154329326,0.0,0.5446249902248382,transformer,0.0001,1.0,0.9
85.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.0_vl0.5_disc0.99,93.5,191488.0,717.1245823441519,400.6,0.14935156423598525,0.26988494318765144,0.0,0.8468750059604645,290.3375,256.8255303896709,14.1,717.0,0.0,0.04193598090787413,-0.00123345900392451,0.0026215604980279303,0.07478241717369023,0.14935156423598525,0.26988494318765144,0.0,0.8468750059604645,transformer,0.001,0.5,0.99
86.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.0_vl0.5_disc0.95,93.5,191488.0,566.1868424510673,390.2,0.01942968815565108,0.07525085864884014,0.0,0.3108750104904175,526.66875,262.3435676280523,15.8,720.0,0.0,0.00346796670018533,0.0029975562218908097,0.00012145720969982064,0.015370168773748643,0.01942968815565108,0.07525085864884014,0.0,0.3108750104904175,transformer,0.001,0.5,0.95
87.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.0_vl0.5_disc0.9,93.5,191488.0,616.4179462169376,411.6,0.36683667759152455,0.43112998192056207,0.0,0.9666249990463257,78.91571165424615,121.81847596328642,2.8,567.9,0.0,0.04518776840450297,-0.00804707171046174,0.00909680561817364,0.142074020888976,0.36683667759152455,0.43112998192056207,0.0,0.9666249990463257,transformer,0.001,0.5,0.9
88.MiniGrid-RedBlueDoors-6x6-v0_transformer_lr0.001_ent0.0_vl1.0_disc0.99,93.5,191488.0,764.7047507281668,392.4,0.1044978705319491,0.22857847899280692,0.0,0.7634999990463257,240.6318181818182,245.84844779893464,11.8,720.0,0.0,0.02644829828350336,-0.0037925240323602007,0.001410659846638349,0.11874616117116914,0.1044978705319491,0.22857847899280692,0.0,0.7634999990463257,transformer,0.001,1.0,0.99
